timestamp,buyer,seller,symbol,currency,price,quantity,day,source_file,bid_price_1,ask_price_1,mid_price,spread,aggressor_side,signed_qty
900,,,TOMATOES,XIRECS,5008.0,2,-2,trades_round_0_day_-2.csv,4994,5008,5001.0,14,buy,2
1700,,,TOMATOES,XIRECS,5006.0,3,-2,trades_round_0_day_-2.csv,4993,5006,4999.5,13,buy,3
4000,,,EMERALDS,XIRECS,10008.0,7,-2,trades_round_0_day_-2.csv,9992,10008,10000.0,16,buy,7
4100,,,TOMATOES,XIRECS,5002.0,3,-2,trades_round_0_day_-2.csv,4989,5002,4995.5,13,buy,3
5200,,,EMERALDS,XIRECS,9992.0,5,-2,trades_round_0_day_-2.csv,9992,10008,10000.0,16,sell,-5
6700,,,TOMATOES,XIRECS,4988.0,5,-2,trades_round_0_day_-2.csv,4988,5001,4994.5,13,sell,-5
7100,,,TOMATOES,XIRECS,5000.0,3,-2,trades_round_0_day_-2.csv,4987,5000,4993.5,13,buy,3
10500,,,EMERALDS,XIRECS,10008.0,5,-2,trades_round_0_day_-2.csv,9992,10008,10000.0,16,buy,5
11200,,,TOMATOES,XIRECS,4985.0,4,-2,trades_round_0_day_-2.csv,4985,4998,4991.5,13,sell,-4
11300,,,EMERALDS,XIRECS,9992.0,3,-2,trades_round_0_day_-2.csv,9992,10008,10000.0,16,sell,-3
12700,,,TOMATOES,XIRECS,4999.0,2,-2,trades_round_0_day_-2.csv,4986,4999,4992.5,13,buy,2
13600,,,TOMATOES,XIRECS,4991.0,2,-2,trades_round_0_day_-2.csv,4991,4999,4995.0,8,sell,-2
14100,,,TOMATOES,XIRECS,4998.0,2,-2,trades_round_0_day_-2.csv,4985,4998,4991.5,13,buy,2
17100,,,TOMATOES,XIRECS,4986.0,4,-2,trades_round_0_day_-2.csv,4986,5000,4993.0,14,sell,-4
17800,,,TOMATOES,XIRECS,4986.0,5,-2,trades_round_0_day_-2.csv,4986,4999,4992.5,13,sell,-5
18000,,,TOMATOES,XIRECS,4990.0,3,-2,trades_round_0_day_-2.csv,4990,4999,4994.5,9,sell,-3
22800,,,EMERALDS,XIRECS,10000.0,6,-2,trades_round_0_day_-2.csv,10000,10008,10004.0,8,sell,-6
